"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2023yqch","2023-12-17T08:11:14.664547Z","-9.512113571","123.6337433","3.147830439","MLv","12","18","83.70779419","Timor Region","BMKG"
"2","bmg2023yqbx","2023-12-17T08:00:19.87593Z","-0.5344044566","123.2688828","3.566232221","M","10","16","101.3918419","Minahassa Peninsula, Sulawesi","BMKG"
"3","bmg2023yqbk","2023-12-17T07:44:40.911541Z","-1.375867128","123.5757675","3.701744776","MLv","10","19","109.2762613","Sulawesi, Indonesia","BMKG"
"4","bmg2023yqat","2023-12-17T07:25:14.399072Z","-0.578076005","123.3401871","3.288189083","M","10","10","133.9892998","Minahassa Peninsula, Sulawesi","BMKG"
"5","bmg2023yqam","2023-12-17T07:17:01.198532Z","-0.5639625192","123.2875748","3.77799295","MLv","10","14","102.8519592","Minahassa Peninsula, Sulawesi","BMKG"
"6","bmg2023ypzv","2023-12-17T06:56:34.517389Z","-2.541029453","121.6166077","3.672398755","MLv","10","18","110.2805786","Sulawesi, Indonesia","BMKG"
"7","bmg2023ypzc","2023-12-17T06:35:00.93235Z","-8.23073864","118.2786789","3.150520552","MLv","201","42","105.0564384","Sumbawa Region, Indonesia","BMKG"
"8","bmg2023ypza","2023-12-17T06:32:24.724754Z","-7.78444767","119.0154266","2.964054343","MLv","27","24","196.0614243","Flores Sea","BMKG"
"9","bmg2023ypus","2023-12-17T04:22:11.1104Z","-5.068344593","130.4066772","4.601950273","MLv","107","56","57.81388092","Banda Sea","BMKG"
"10","bmg2023ypsz","2023-12-17T03:29:32.127252Z","-0.06289958954","123.3255157","2.953773249","M","141","26","81.34824753","Minahassa Peninsula, Sulawesi","BMKG"
"11","bmg2023yppe","2023-12-17T01:33:52.812541Z","1.90291059","127.4185944","3.588680285","MLv","97","29","90.75210571","Halmahera, Indonesia","BMKG"
"12","bmg2023ypnq","2023-12-17T00:47:38.256439Z","-3.085284472","130.5832062","4.593184562","MLv","10","67","47.06887817","Seram, Indonesia","BMKG"
"13","bmg2023ypjd","2023-12-16T22:30:40.877754Z","-0.6498625278","122.2470703","4.56600783","MLv","10","97","36.26767731","Minahassa Peninsula, Sulawesi","BMKG"
"14","bmg2023ypgy","2023-12-16T21:24:59.780768Z","4.816230774","96.18939972","2.595014325","MLv","10","15","90.89736938","Northern Sumatra, Indonesia","BMKG"
"15","bmg2023ypgg","2023-12-16T21:03:10.293343Z","-7.857820034","114.3450775","2.707341894","MLv","11","33","71.01202774","Bali Sea","BMKG"
"16","bmg2023ypcu","2023-12-16T19:18:46.747614Z","1.197235823","128.3066711","3.015450423","MLv","11","18","116.7246704","Halmahera, Indonesia","BMKG"
"17","bmg2023ypcc","2023-12-16T18:57:46.161179Z","-8.28901577","119.2583084","3.078005159","MLv","14","37","177.1363907","Flores Region, Indonesia","BMKG"
"18","bmg2023ypcb","2023-12-16T18:56:27.914502Z","-8.247518539","119.2637329","3.148967762","MLv","15","53","95.5562067","Flores Region, Indonesia","BMKG"
"19","bmg2023ypbv","2023-12-16T18:49:03.991956Z","-6.74106884","106.6042404","2.135203947","M","10","19","111.7138062","Java, Indonesia","BMKG"
"20","bmg2023ypbt","2023-12-16T18:46:09.00314Z","-6.773448944","106.5292587","2.327488409","MLv","10","27","101.3890877","Java, Indonesia","BMKG"
"21","bmg2023ypbs","2023-12-16T18:45:50.878858Z","-9.036108971","125.578186","3.890680902","MLv","13","31","152.6778946","Timor Region","BMKG"
"22","bmg2023yozi","2023-12-16T17:34:01.590732Z","4.468295097","95.04470062","3.32127561","MLv","28","23","212.4076028","Northern Sumatra, Indonesia","BMKG"
"23","bmg2023yozg","2023-12-16T17:30:59.003077Z","-1.857848763","99.38760376","2.989134664","MLv","16","25","180.3961487","Southern Sumatra, Indonesia","BMKG"
"24","bmg2023yoyd","2023-12-16T16:57:58.910767Z","-2.056813478","99.9052124","3.352833006","MLv","39","37","97.86483765","Southern Sumatra, Indonesia","BMKG"
"25","bmg2023yoww","2023-12-16T16:18:53.789967Z","-7.84782505","114.3753967","3.580335074","MLv","10","48","72.3057251","Bali Sea","BMKG"
"26","bmg2023yowm","2023-12-16T16:07:39.488105Z","3.548508644","126.986496","3.354784798","MLv","19","14","170.8125305","Talaud Islands, Indonesia","BMKG"
"27","bmg2023yovm","2023-12-16T15:37:27.754353Z","2.08502984","127.1182861","3.268837556","MLv","95","29","97.61602783","Northern Molucca Sea","BMKG"
"28","bmg2023yotk","2023-12-16T14:33:38.145686Z","-7.224932671","109.8068466","2.206240914","M","21","23","100.7055683","Java, Indonesia","BMKG"
"29","bmg2023yotg","2023-12-16T14:29:47.419487Z","-7.256117821","109.8255234","1.957877995","MLv","16","22","93.3802681","Java, Indonesia","BMKG"
"30","bmg2023yonu","2023-12-16T11:43:47.061074Z","7.95573473","127.0774918","4.876636459","mb","10","36","243.4754791","Philippine Islands Region","BMKG"
"31","bmg2023yolc","2023-12-16T10:22:05.14831Z","5.176932812","96.49478149","3.513560274","MLv","10","18","142.1920776","Northern Sumatra, Indonesia","BMKG"
"32","bmg2023yoie","2023-12-16T08:54:05.264747Z","2.73135519","128.323349","3.607259693","MLv","14","20","205.7780151","Halmahera, Indonesia","BMKG"
"33","bmg2023yogn","2023-12-16T08:03:34.23815Z","-2.395433664","121.1884766","2.487210874","MLv","11","9","121.4411449","Sulawesi, Indonesia","BMKG"
"34","bmg2023yody","2023-12-16T06:45:55.354724Z","-0.4081214964","98.7301178","5.113059912","Mw(mB)","44","214","66.81886292","Southern Sumatra, Indonesia","BMKG"
"35","bmg2023yoat","2023-12-16T05:08:05.774943Z","5.298721313","95.65422058","3.206897876","MLv","10","21","122.8818588","Northern Sumatra, Indonesia","BMKG"
"36","bmg2023ynzl","2023-12-16T04:28:43.782158Z","-7.758845806","127.5853577","4.243053489","MLv","140","27","132.5387344","Banda Sea","BMKG"
"37","bmg2023ynye","2023-12-16T03:49:56.827629Z","-0.7079466581","119.6189041","3.314564215","MLv","16","21","156.273046","Minahassa Peninsula, Sulawesi","BMKG"
"38","bmg2023ynxm","2023-12-16T03:29:32.308032Z","1.260252476","126.135582","3.762451157","M","29","27","77.18811798","Northern Molucca Sea","BMKG"
"39","bmg2023ynww","2023-12-16T03:10:45.165109Z","-2.050530672","100.6157303","3.444141837","MLv","28","25","72.70277405","Southern Sumatra, Indonesia","BMKG"
"40","bmg2023ynwc","2023-12-16T02:47:29.977865Z","-2.853312254","128.2415314","3.495028623","MLv","10","10","134.1529198","Ceram Sea","BMKG"
"41","bmg2023ynvm","2023-12-16T02:28:41.540106Z","-6.794981956","106.5244675","2.290553681","M","10","17","85.94502258","Java, Indonesia","BMKG"
"42","bmg2023ynvn","2023-12-16T02:28:40.235037Z","-9.399416924","117.8020096","2.837593747","MLv","26","19","196.2211533","Sumbawa Region, Indonesia","BMKG"
"43","bmg2023ynpm","2023-12-15T23:26:50.949705Z","-7.23842001","109.8024521","2.29973506","MLv","16","17","101.8065319","Java, Indonesia","BMKG"
"44","bmg2023ynpl","2023-12-15T23:25:25.162057Z","-1.163247108","120.6032867","2.542246576","MLv","10","15","91.6155777","Sulawesi, Indonesia","BMKG"
"45","bmg2023ynne","2023-12-15T22:17:08.076611Z","-1.149563193","126.8333054","4.231205619","MLv","10","69","35.90969849","Southern Molucca Sea","BMKG"
"46","bmg2023ynmd","2023-12-15T21:45:29.204081Z","-8.196700096","119.879776","3.85420927","MLv","176","62","85.16680908","Flores Region, Indonesia","BMKG"
"47","bmg2023ynls","2023-12-15T21:32:22.242367Z","7.453555107","126.9530869","4.722925594","mb","65","46","225.865448","Mindanao, Philippines","BMKG"
"48","bmg2023ynla","2023-12-15T21:11:38.766762Z","-4.580551147","101.8743286","3.397535633","MLv","10","27","195.6670151","Southern Sumatra, Indonesia","BMKG"
"49","bmg2023ynju","2023-12-15T20:33:56.33057Z","-7.149441719","108.8386383","2.837879446","MLv","10","52","94.43569946","Java, Indonesia","BMKG"
"50","bmg2023ynjd","2023-12-15T20:14:52.273168Z","-0.2525197268","100.5161133","2.473492816","MLv","10","14","173.722827","Southern Sumatra, Indonesia","BMKG"
"51","bmg2023yngf","2023-12-15T18:45:25.498673Z","-0.944820106","134.3256531","3.330163931","MLv","11","17","176.7670364","West Papua Region, Indonesia","BMKG"
"52","bmg2023yngc","2023-12-15T18:42:58.189443Z","-7.145280838","108.8797913","4.06296617","MLv","10","80","81.31668854","Java, Indonesia","BMKG"
"53","bmg2023ynfl","2023-12-15T18:23:08.919616Z","-9.776032448","114.7183075","3.499146507","MLv","19","54","216.7406235","South of Bali, Indonesia","BMKG"
"54","bmg2023ynfa","2023-12-15T18:10:23.270753Z","-9.771626472","114.6518784","3.72961072","MLv","10","63","201.579071","South of Bali, Indonesia","BMKG"
"55","bmg2023ynds","2023-12-15T17:30:07.023027Z","2.337963581","97.86678314","2.773307041","MLv","37","23","114.3532257","Northern Sumatra, Indonesia","BMKG"
"56","bmg2023yndo","2023-12-15T17:25:44.850831Z","-0.3725436628","123.9315796","3.581170687","MLv","72","45","51.04205322","Minahassa Peninsula, Sulawesi","BMKG"
"57","bmg2023yndi","2023-12-15T17:18:20.70317Z","-0.09795646369","122.8448715","3.431120511","M","138","35","53.48783112","Minahassa Peninsula, Sulawesi","BMKG"
"58","bmg2023ynck","2023-12-15T16:50:23.124318Z","-6.750832081","106.5487595","2.952197675","MLv","10","34","70.23982239","Java, Indonesia","BMKG"
"59","bmg2023ynbx","2023-12-15T16:35:21.705196Z","8.225187302","127.2948685","4.739882635","mb","10","39","242.6380157","Philippine Islands Region","BMKG"
"60","bmg2023ynax","2023-12-15T16:05:34.319312Z","8.68478775","127.4696808","5.08526394","mb","19","48","246.8775787","Philippine Islands Region","BMKG"
"61","bmg2023ynac","2023-12-15T15:40:30.095462Z","8.632790565","127.3884201","4.852139595","mb","37","39","157.7207794","Philippine Islands Region","BMKG"
"62","bmg2023ymxp","2023-12-15T14:24:34.587044Z","-7.14252758","108.8585663","4.555270622","MLv","10","88","50.29269409","Java, Indonesia","BMKG"
"63","bmg2023ymwe","2023-12-15T13:42:07.987116Z","4.264585972","126.8566818","3.715059507","MLv","10","8","216.5742035","Talaud Islands, Indonesia","BMKG"
"64","bmg2023ymou","2023-12-15T09:57:43.356471Z","-8.784241676","119.7188721","2.997821555","MLv","10","38","62.17075729","Flores Region, Indonesia","BMKG"
"65","bmg2023ymmq","2023-12-15T08:52:41.219801Z","-2.874901295","101.585083","3.593171068","M","14","28","126.159729","Southern Sumatra, Indonesia","BMKG"
